latitude,longitude,Name,Status,MapLabel,MW,Project_Type,Owner,County,City,State,Zip,Cogen_Status,OldName,MapIcon
37.065354,-119.491147,SIERRA BIOMASS (AUBERRY),Non-operational,Sierra Biomass Power,7.5,Biomass solid fuel,Sierra Biomass LLC,Fresno County,AUBERRY,CA,93602,not cogen,Auberry,wht_circle
36.416976,-121.315617,SOLEDAD ENERGY,Non-operational,Soledad Energy,13.4,Biomass solid fuel,Soledad Energy? ,Monterey County,SOLEDAD,CA,93960,not cogen,,wht_circle
39.669937,-120.239409,SPI LOYALTON,Idle,SPI Loyalton Biomass Power,20,Biomass solid fuel,SPI,Sierra County,LOYALTON,CA,96118,not cogen,,ylw_circle
40.408256,-120.644821,SUSANVILLE,Non-operational,Susanville Biomass Power Project,12.5,Biomass solid fuel,Laidlaw Energy Group,Lassen County,SUSANVILLE,CA,96130,not cogen,,wht_circle
37.719987,-121.488451,TRACY BIOMASS PLANT,Operational,Greenleaf Tracy Biomass Power,19.4,Biomass solid fuel,Thermal Energy Development Partnership,San Joaquin County,TRACY,CA,95377,not cogen,,grn_circle
37.6383,-120.999589,VALLEY BIO-ENERGY,Cancelled,N/A,33,Biomass solid fuel,Valley Bio-Energy,Stanislaus County,MODESTO,CA,95350,not cogen,,wht_circle
39.105574,-122.110131,WADHAM,Operational,Wadham Biomass Power,26.5,Biomass solid fuel,Wadham Energy LP,Stanislaus County,WILLIAMS,CA,95987,not cogen,,grn_circle
40.429592,-122.278243,WHEELABRATOR SHASTA,Operational,Wheelabrator Shasta Biomass Energy,50,Biomass solid fuel,Wheelabrator Shasta Energy Co,Shasta County,ANDERSON,CA,96007,not cogen,,grn_circle
38.691304,-121.737132,WOODLAND BIOMASS POWER LTD,Operational,DTE Woodland Biomass Power,25,Biomass solid fuel,DTE Energy Services,Yolo County,WOODLAND,CA,95776,not cogen,,grn_circle
38.27792,-120.913763,BUENA VISTA BIOMASS POWER,Operational,Buena Vista Biomass Power,18.5,"Co-fire or conversion (from coal, petcoke or TDF)",Buena Vista Biomass,Amador County,IONE,CA,95640,not cogen,,grn_circle
37.335114,-120.528724,PHOENIX ENERGY,Operational,Phoenix Energy,0.5,Gasification,Phoenix Energy,Merced County,MERCED,CA,95348,not cogen,,grn_circle
38.721719,-121.7544,WEST BIOFUELS,Pilot,West Biofuels Gasifier Pilot,0.2,Gasification,West Biofuels,Yolo County,WOODLAND,CA,95776,not cogen,,orange_circle
37.231861,-119.494599,North Fork Project,Active Project,North Fork Project,2,Biomass solid fuel,,Madera County,NORTH FORK,CA,93643,N/A,,red_circle
42.106133,-123.677315,Rough & Ready Power,Idle,Rough & Ready Power,1.5,Biomass solid fuel,Rough & Ready Lumber,Josephine County,CAVE JUNCTION,OR,97523,N/A,,ylw_circle
38.37751,-120.523977,Wilseyville Proposed Project,Proposal,Wilseyville Proposed Project,3,Biomass solid fuel,,Calaveras County,WEST POINT,CA,95255,N/A,,purple_circle
42.179712,-121.798302,COLUMBIA PLYWOOD,Operational,Columbia Plywood,,Thermal,Columbia Forest Products,Klamath County,KLAMATH FALLS,OR,97601,N/A,,grn_circle
41.523309,-120.66971,Devils Garden Conservation Camp Proposed Project,Proposal,Devils Garden Conservation Camp Proposed Project,0,Thermal,,Modoc County,ALTURAS,CA,96101,N/A,,purple_circle
39.936666,-120.946199,Quincy Proposed Project,Proposal,Quincy Proposed Project,0,Thermal,,Plumas County,QUINCY,CA,95971,N/A,,purple_circle
41.731738,-122.589835,TIMBER PRODUCTS,Operational,Timber Products Veneer (Yreka),,Thermal,Timber Products,Siskiyou County,YREKA,CA,,N/A,,grn_circle
40.78939,-122.802506,Trinity Conservation Camp Proposed Project,Proposal,Trinity River Conservation Camp Proposed Project,0,Thermal,,Trinity County,LEWISTON,CA,96052,N/A,,purple_circle
32.91631,-115.522232,California Ethanol & Power LLC,Proposal,California Ethanol & Power LLC,49.9,N/A,CE&P,Imperial County,BRAWLEY,CA,92227,N/A,,purple_circle
42.16992,-121.818424,COLLINS PINE CO. PROJECT,Operational,Collins Pine Biomass (Klamath Falls),,N/A,Collins Pine Company,Klamath County,KLAMATH FALLS,OR,97601,N/A,,grn_circle
42.176324,-121.809231,Iberdrola Klamath Falls Project,Cancelled,Iberdrola Klamath Falls Project,,N/A,Iberdrola Renewables,Klamath County,KLAMATH FALLS,OR,97601,N/A,,wht_circle
42.197586,-120.354345,Iberdrola Lakeview Project,Active Project,Iberdrola Lakeview Project,,N/A,Iberdrola Renewables,Lake County,LAKEVIEW,OR,97630,N/A,,red_circle
42.174472,-121.822306,Klamath Falls Bioenergy Project,Cancelled,Klamath Falls Bioenergy Project,,N/A,,Klamath County,KLAMATH FALLS,OR,97601,N/A,,wht_circle
40.72493,-122.930638,Trinity River Lbr.,Proposal,Trinity River Lbr.,5,N/A,,Trinity County,WEAVERVILLE,CA,96093,N/A,,purple_circle
